time	V(n002)
0.000000000000000e+00	0.000000e+00
4.882812470324849e-12	1.408950e+00
9.765624940649698e-12	1.408965e+00
1.953124988129940e-11	1.408996e+00
3.906249976259879e-11	1.409057e+00
7.812499952519758e-11	1.409179e+00
1.562499990503952e-10	1.409424e+00
3.124999981007903e-10	1.409913e+00
6.249999962015806e-10	1.410891e+00
1.249999992403161e-09	1.412847e+00
2.499999984806323e-09	1.416758e+00
4.999999969612645e-09	1.424574e+00
9.999999939225290e-09	1.440183e+00
1.999999987845058e-08	1.471312e+00
3.999999975690116e-08	1.533216e+00
7.999999951380232e-08	1.655616e+00
1.599999990276046e-07	1.894876e+00
3.199999980552093e-07	2.351937e+00
6.399999961104186e-07	3.185542e+00
1.128281246110419e-06	4.270946e+00
1.616562496110419e-06	5.158607e+00
2.104843746110419e-06	5.878000e+00
2.593124996110419e-06	6.454368e+00
3.081406246110419e-06	6.909324e+00
3.569687496110419e-06	7.261374e+00
4.057968746110418e-06	7.526354e+00
4.546249996110419e-06	7.717810e+00
5.034531246110419e-06	7.847328e+00
5.522812496110420e-06	7.924812e+00
6.011093746110420e-06	7.958725e+00
6.499374996110420e-06	7.956293e+00
6.987656246110421e-06	7.923682e+00
7.475937496110421e-06	7.866151e+00
7.964218746110422e-06	7.788182e+00
8.452499996110422e-06	7.693588e+00
8.940781246110423e-06	7.585613e+00
9.429062496110423e-06	7.467012e+00
9.917343746110423e-06	7.340123e+00
1.040562499611042e-05	7.206922e+00
1.089390624611042e-05	7.069082e+00
1.138218749611042e-05	6.928012e+00
1.187046874611043e-05	6.784899e+00
1.235874999611043e-05	6.640734e+00
1.284703124611043e-05	6.496350e+00
1.333531249611043e-05	6.352437e+00
1.382359374611043e-05	6.209566e+00
1.431187499611043e-05	6.068208e+00
1.480015624611043e-05	5.928745e+00
1.528843749611043e-05	5.791489e+00
1.577671874611043e-05	5.656687e+00
1.626499999611043e-05	5.524533e+00
1.675328124611043e-05	5.395176e+00
1.724156249611043e-05	5.268729e+00
1.772984374611043e-05	5.145271e+00
1.821812499611043e-05	5.024855e+00
1.870640624611043e-05	4.907510e+00
1.919468749611043e-05	4.793247e+00
1.968296874611043e-05	4.682062e+00
2.017124999611043e-05	4.573936e+00
2.065953124611043e-05	4.468841e+00
2.114781249611043e-05	4.366739e+00
2.163609374611043e-05	4.267584e+00
2.212437499611043e-05	4.171328e+00
2.261265624611043e-05	4.077914e+00
2.310093749611044e-05	3.987284e+00
2.358921874611044e-05	3.899376e+00
2.407749999611044e-05	3.814128e+00
2.456578124611044e-05	3.731475e+00
2.505406249611044e-05	3.651351e+00
2.554234374611044e-05	3.573690e+00
2.603062499611044e-05	3.498428e+00
2.651890624611044e-05	3.425497e+00
2.700718749611044e-05	3.354834e+00
2.749546874611044e-05	3.286375e+00
2.798374999611044e-05	3.220055e+00
2.847203124611044e-05	3.155813e+00
2.896031249611044e-05	3.093587e+00
2.944859374611044e-05	3.033319e+00
2.993687499611044e-05	2.974947e+00
3.042515624611044e-05	2.918417e+00
3.091343749611044e-05	2.863672e+00
3.140171874611044e-05	2.810657e+00
3.188999999611044e-05	2.759319e+00
3.237828124611044e-05	2.709606e+00
3.286656249611044e-05	2.661469e+00
3.335484374611044e-05	2.614858e+00
3.384312499611044e-05	2.569726e+00
3.433140624611044e-05	2.526026e+00
3.481968749611044e-05	2.483714e+00
3.530796874611044e-05	2.442746e+00
3.579624999611044e-05	2.403080e+00
3.628453124611044e-05	2.364676e+00
3.677281249611044e-05	2.327492e+00
3.726109374611044e-05	2.291491e+00
3.774937499611044e-05	2.256635e+00
3.823765624611045e-05	2.222888e+00
3.872593749611045e-05	2.190216e+00
3.921421874611045e-05	2.158583e+00
3.970249999611045e-05	2.127957e+00
4.019078124611045e-05	2.098306e+00
4.067906249611045e-05	2.069600e+00
4.116734374611045e-05	2.041807e+00
4.165562499611045e-05	2.014900e+00
4.214390624611045e-05	1.988850e+00
4.263218749611045e-05	1.963629e+00
4.312046874611045e-05	1.939211e+00
4.360874999611045e-05	1.915572e+00
4.409703124611045e-05	1.892686e+00
4.458531249611045e-05	1.870528e+00
4.507359374611045e-05	1.849077e+00
4.556187499611045e-05	1.828309e+00
4.605015624611045e-05	1.808202e+00
4.653843749611045e-05	1.788736e+00
4.702671874611045e-05	1.769891e+00
4.751499999611045e-05	1.751646e+00
4.800328124611045e-05	1.733982e+00
4.849156249611045e-05	1.716881e+00
4.897984374611045e-05	1.700325e+00
4.946812499611046e-05	1.684297e+00
4.995640624611046e-05	1.668779e+00
5.044468749611046e-05	1.653756e+00
5.093296874611046e-05	1.639211e+00
5.142124999611046e-05	1.625130e+00
5.190953124611046e-05	1.611498e+00
5.239781249611046e-05	1.598300e+00
5.288609374611046e-05	1.585522e+00
5.337437499611046e-05	1.573152e+00
5.386265624611046e-05	1.561176e+00
5.435093749611046e-05	1.549582e+00
5.483921874611046e-05	1.538357e+00
5.532749999611046e-05	1.527489e+00
5.581578124611046e-05	1.516968e+00
5.630406249611046e-05	1.506783e+00
5.679234374611046e-05	1.496922e+00
5.728062499611046e-05	1.487375e+00
5.776890624611046e-05	1.478132e+00
5.825718749611046e-05	1.469184e+00
5.874546874611046e-05	1.460521e+00
5.923374999611046e-05	1.452134e+00
5.972203124611046e-05	1.444015e+00
6.021031249611046e-05	1.436154e+00
6.069859374611047e-05	1.428543e+00
6.118687499611046e-05	1.421176e+00
6.167515624611046e-05	1.414042e+00
6.216343749611046e-05	1.407137e+00
6.265171874611046e-05	1.400451e+00
6.313999999611046e-05	1.393978e+00
6.362828124611046e-05	1.387712e+00
6.411656249611046e-05	1.381645e+00
6.460484374611046e-05	1.375772e+00
6.509312499611046e-05	1.370086e+00
6.558140624611046e-05	1.364581e+00
6.606968749611046e-05	1.359251e+00
6.655796874611046e-05	1.354092e+00
6.704624999611046e-05	1.349096e+00
6.753453124611046e-05	1.344260e+00
6.802281249611046e-05	1.339578e+00
6.851109374611047e-05	1.335045e+00
6.899937499611047e-05	1.330657e+00
6.948765624611047e-05	1.326409e+00
6.997593749611047e-05	1.322296e+00
7.046421874611047e-05	1.318313e+00
7.095249999611047e-05	1.314458e+00
7.144078124611047e-05	1.310726e+00
7.192906249611047e-05	1.307113e+00
7.241734374611047e-05	1.303614e+00
7.290562499611047e-05	1.300228e+00
7.339390624611047e-05	1.296949e+00
7.388218749611047e-05	1.293775e+00
7.437046874611047e-05	1.290702e+00
7.485874999611047e-05	1.287726e+00
7.534703124611047e-05	1.284846e+00
7.583531249611047e-05	1.282057e+00
7.632359374611047e-05	1.279357e+00
7.681187499611047e-05	1.276744e+00
7.730015624611047e-05	1.274213e+00
7.778843749611047e-05	1.271763e+00
7.827671874611047e-05	1.269392e+00
7.876499999611047e-05	1.267096e+00
7.925328124611047e-05	1.264873e+00
7.974156249611048e-05	1.262720e+00
8.022984374611048e-05	1.260637e+00
8.071812499611048e-05	1.258620e+00
8.120640624611048e-05	1.256667e+00
8.169468749611048e-05	1.254776e+00
8.218296874611048e-05	1.252946e+00
8.267124999611048e-05	1.251174e+00
8.315953124611048e-05	1.249458e+00
8.364781249611048e-05	1.247797e+00
8.413609374611048e-05	1.246189e+00
8.462437499611048e-05	1.244633e+00
8.511265624611048e-05	1.243125e+00
8.560093749611048e-05	1.241666e+00
8.608921874611048e-05	1.240254e+00
8.657749999611048e-05	1.238886e+00
8.706578124611048e-05	1.237562e+00
8.755406249611048e-05	1.236280e+00
8.804234374611048e-05	1.235039e+00
8.853062499611048e-05	1.233838e+00
8.901890624611048e-05	1.232675e+00
8.950718749611048e-05	1.231549e+00
8.999546874611048e-05	1.230458e+00
9.048374999611048e-05	1.229403e+00
9.097203124611049e-05	1.228381e+00
9.146031249611049e-05	1.227392e+00
9.194859374611049e-05	1.226434e+00
9.243687499611049e-05	1.225507e+00
9.292515624611049e-05	1.224609e+00
9.341343749611049e-05	1.223740e+00
9.390171874611049e-05	1.222899e+00
9.438999999611049e-05	1.222084e+00
9.487828124611049e-05	1.221296e+00
9.536656249611049e-05	1.220532e+00
9.585484374611049e-05	1.219793e+00
9.634312499611049e-05	1.219078e+00
9.683140624611049e-05	1.218385e+00
9.731968749611049e-05	1.217714e+00
9.780796874611049e-05	1.217065e+00
9.829624999611049e-05	1.216436e+00
9.878453124611049e-05	1.215828e+00
9.927281249611049e-05	1.215238e+00
9.976109374611049e-05	1.214668e+00
1.000000010000000e-04	1.214396e+00
1.000000020000000e-04	-1.945408e-01
1.000000179999999e-04	-1.945909e-01
1.000000499999998e-04	-1.946911e-01
1.000001139999995e-04	-1.948916e-01
1.000002419999990e-04	-1.952924e-01
1.000004979999980e-04	-1.960941e-01
1.000010099999960e-04	-1.976971e-01
1.000020339999919e-04	-2.009024e-01
1.000040819999837e-04	-2.073090e-01
1.000081779999673e-04	-2.201074e-01
1.000163699999346e-04	-2.456444e-01
1.000327539998691e-04	-2.964798e-01
1.000655219997382e-04	-3.972031e-01
1.001310579994763e-04	-5.949095e-01
1.002621299989526e-04	-9.757519e-01
1.005242739979051e-04	-1.682139e+00
1.010125552479051e-04	-2.819736e+00
1.015008364979051e-04	-3.751899e+00
1.019891177479051e-04	-4.509205e+00
1.024773989979051e-04	-5.117840e+00
1.029656802479051e-04	-5.600229e+00
1.034539614979051e-04	-5.975572e+00
1.039422427479051e-04	-6.260298e+00
1.044305239979051e-04	-6.468468e+00
1.049188052479051e-04	-6.612105e+00
1.054070864979051e-04	-6.701488e+00
1.058953677479051e-04	-6.745403e+00
1.063836489979051e-04	-6.751350e+00
1.068719302479051e-04	-6.725734e+00
1.073602114979051e-04	-6.674016e+00
1.078484927479051e-04	-6.600851e+00
1.083367739979051e-04	-6.510203e+00
1.088250552479051e-04	-6.405443e+00
1.093133364979051e-04	-6.289434e+00
1.098016177479051e-04	-6.164608e+00
1.102898989979051e-04	-6.033023e+00
1.107781802479051e-04	-5.896419e+00
1.112664614979051e-04	-5.756264e+00
1.117547427479051e-04	-5.613794e+00
1.122430239979051e-04	-5.470047e+00
1.127313052479051e-04	-5.325887e+00
1.132195864979051e-04	-5.182039e+00
1.137078677479051e-04	-5.039101e+00
1.141961489979051e-04	-4.897565e+00
1.146844302479051e-04	-4.757834e+00
1.151727114979051e-04	-4.620235e+00
1.156609927479051e-04	-4.485030e+00
1.161492739979051e-04	-4.352425e+00
1.166375552479051e-04	-4.222580e+00
1.171258364979051e-04	-4.095615e+00
1.176141177479051e-04	-3.971618e+00
1.181023989979051e-04	-3.850646e+00
1.185906802479051e-04	-3.732735e+00
1.190789614979051e-04	-3.617900e+00
1.195672427479051e-04	-3.506140e+00
1.200555239979051e-04	-3.397439e+00
1.205438052479051e-04	-3.291772e+00
1.210320864979051e-04	-3.189104e+00
1.215203677479051e-04	-3.089390e+00
1.220086489979051e-04	-2.992582e+00
1.224969302479051e-04	-2.898626e+00
1.229852114979051e-04	-2.807463e+00
1.234734927479051e-04	-2.719034e+00
1.239617739979051e-04	-2.633276e+00
1.244500552479051e-04	-2.550125e+00
1.249383364979051e-04	-2.469514e+00
1.254266177479051e-04	-2.391380e+00
1.259148989979051e-04	-2.315656e+00
1.264031802479051e-04	-2.242276e+00
1.268914614979051e-04	-2.171176e+00
1.273797427479051e-04	-2.102291e+00
1.278680239979051e-04	-2.035558e+00
1.283563052479051e-04	-1.970915e+00
1.288445864979051e-04	-1.908300e+00
1.293328677479051e-04	-1.847653e+00
1.298211489979051e-04	-1.788915e+00
1.303094302479051e-04	-1.732029e+00
1.307977114979051e-04	-1.676938e+00
1.312859927479051e-04	-1.623588e+00
1.317742739979051e-04	-1.571926e+00
1.322625552479051e-04	-1.521899e+00
1.327508364979051e-04	-1.473457e+00
1.332391177479051e-04	-1.426550e+00
1.337273989979051e-04	-1.381132e+00
1.342156802479051e-04	-1.337155e+00
1.347039614979051e-04	-1.294574e+00
1.351922427479051e-04	-1.253346e+00
1.356805239979051e-04	-1.213428e+00
1.361688052479051e-04	-1.174779e+00
1.366570864979051e-04	-1.137358e+00
1.371453677479051e-04	-1.101128e+00
1.376336489979051e-04	-1.066051e+00
1.381219302479051e-04	-1.032089e+00
1.386102114979051e-04	-9.992083e-01
1.390984927479051e-04	-9.673740e-01
1.395867739979051e-04	-9.365532e-01
1.400750552479051e-04	-9.067135e-01
1.405633364979051e-04	-8.778241e-01
1.410516177479051e-04	-8.498545e-01
1.415398989979051e-04	-8.227756e-01
1.420281802479051e-04	-7.965592e-01
1.425164614979051e-04	-7.711777e-01
1.430047427479051e-04	-7.466047e-01
1.434930239979051e-04	-7.228145e-01
1.439813052479051e-04	-6.997821e-01
1.444695864979051e-04	-6.774835e-01
1.449578677479051e-04	-6.558952e-01
1.454461489979051e-04	-6.349947e-01
1.459344302479051e-04	-6.147602e-01
1.464227114979051e-04	-5.951703e-01
1.469109927479051e-04	-5.762045e-01
1.473992739979051e-04	-5.578431e-01
1.478875552479051e-04	-5.400667e-01
1.483758364979051e-04	-5.228568e-01
1.488641177479051e-04	-5.061952e-01
1.493523989979051e-04	-4.900645e-01
1.498406802479051e-04	-4.744478e-01
1.503289614979051e-04	-4.593287e-01
1.508172427479051e-04	-4.446914e-01
1.513055239979051e-04	-4.305205e-01
1.517938052479051e-04	-4.168012e-01
1.522820864979051e-04	-4.035190e-01
1.527703677479051e-04	-3.906601e-01
1.532586489979051e-04	-3.782110e-01
1.537469302479051e-04	-3.661586e-01
1.542352114979051e-04	-3.544902e-01
1.547234927479051e-04	-3.431937e-01
1.552117739979051e-04	-3.322571e-01
1.557000552479051e-04	-3.216690e-01
1.561883364979051e-04	-3.114184e-01
1.566766177479051e-04	-3.014944e-01
1.571648989979051e-04	-2.918867e-01
1.576531802479051e-04	-2.825851e-01
1.581414614979051e-04	-2.735799e-01
1.586297427479051e-04	-2.648617e-01
1.591180239979051e-04	-2.564214e-01
1.596063052479051e-04	-2.482499e-01
1.600945864979051e-04	-2.403389e-01
1.605828677479051e-04	-2.326800e-01
1.610711489979051e-04	-2.252652e-01
1.615594302479051e-04	-2.180866e-01
1.620477114979052e-04	-2.111368e-01
1.625359927479052e-04	-2.044085e-01
1.630242739979052e-04	-1.978946e-01
1.635125552479052e-04	-1.915883e-01
1.640008364979052e-04	-1.854829e-01
1.644891177479052e-04	-1.795721e-01
1.649773989979052e-04	-1.738496e-01
1.654656802479052e-04	-1.683095e-01
1.659539614979052e-04	-1.629460e-01
1.664422427479052e-04	-1.577534e-01
1.669305239979052e-04	-1.527262e-01
1.674188052479052e-04	-1.478593e-01
1.679070864979052e-04	-1.431474e-01
1.683953677479052e-04	-1.385857e-01
1.688836489979052e-04	-1.341694e-01
1.693719302479052e-04	-1.298938e-01
1.698602114979052e-04	-1.257544e-01
1.703484927479052e-04	-1.217470e-01
1.708367739979052e-04	-1.178673e-01
1.713250552479052e-04	-1.141112e-01
1.718133364979052e-04	-1.104748e-01
1.723016177479052e-04	-1.069543e-01
1.727898989979052e-04	-1.035459e-01
1.732781802479052e-04	-1.002462e-01
1.737664614979052e-04	-9.705165e-02
1.742547427479052e-04	-9.395888e-02
1.747430239979052e-04	-9.096468e-02
1.752313052479052e-04	-8.806590e-02
1.757195864979052e-04	-8.525949e-02
1.762078677479052e-04	-8.254251e-02
1.766961489979052e-04	-7.991211e-02
1.771844302479052e-04	-7.736554e-02
1.776727114979052e-04	-7.490012e-02
1.781609927479052e-04	-7.251327e-02
1.786492739979052e-04	-7.020248e-02
1.791375552479052e-04	-6.796532e-02
1.796258364979052e-04	-6.579946e-02
1.801141177479052e-04	-6.370262e-02
1.806023989979052e-04	-6.167259e-02
1.810906802479052e-04	-5.970727e-02
1.815789614979052e-04	-5.780457e-02
1.820672427479052e-04	-5.596250e-02
1.825555239979052e-04	-5.417913e-02
1.830438052479052e-04	-5.245259e-02
1.835320864979052e-04	-5.078108e-02
1.840203677479052e-04	-4.916283e-02
1.845086489979052e-04	-4.759615e-02
1.849969302479052e-04	-4.607940e-02
1.854852114979052e-04	-4.461098e-02
1.859734927479052e-04	-4.318935e-02
1.864617739979052e-04	-4.181303e-02
1.869500552479052e-04	-4.048057e-02
1.874383364979052e-04	-3.919057e-02
1.879266177479052e-04	-3.794168e-02
1.884148989979052e-04	-3.673258e-02
1.889031802479052e-04	-3.556202e-02
1.893914614979052e-04	-3.442876e-02
1.898797427479052e-04	-3.333161e-02
1.903680239979052e-04	-3.226943e-02
1.908563052479052e-04	-3.124109e-02
1.913445864979052e-04	-3.024553e-02
1.918328677479052e-04	-2.928169e-02
1.923211489979052e-04	-2.834856e-02
1.928094302479052e-04	-2.744517e-02
1.932977114979052e-04	-2.657058e-02
1.937859927479052e-04	-2.572385e-02
1.942742739979052e-04	-2.490410e-02
1.947625552479052e-04	-2.411048e-02
1.952508364979052e-04	-2.334215e-02
1.957391177479052e-04	-2.259830e-02
1.962273989979052e-04	-2.187815e-02
1.967156802479052e-04	-2.118096e-02
1.972039614979052e-04	-2.050598e-02
1.976922427479052e-04	-1.985252e-02
1.981805239979052e-04	-1.921987e-02
1.986688052479052e-04	-1.860739e-02
1.991570864979052e-04	-1.801442e-02
1.996453677479052e-04	-1.744035e-02
2.000000000000000e-04	-1.703495e-02
2.000000010000000e-04	1.391901e+00
2.000000169999999e-04	1.391951e+00
2.000000489999998e-04	1.392052e+00
2.000001129999995e-04	1.392252e+00
2.000002409999990e-04	1.392653e+00
2.000004969999980e-04	1.393455e+00
2.000010089999960e-04	1.395058e+00
2.000020329999919e-04	1.398263e+00
2.000040809999837e-04	1.404670e+00
2.000081769999673e-04	1.417468e+00
2.000163689999346e-04	1.443005e+00
2.000327529998691e-04	1.493840e+00
2.000655209997382e-04	1.594564e+00
2.001310569994763e-04	1.792270e+00
2.002621289989526e-04	2.173112e+00
2.005242729979051e-04	2.879498e+00
2.010125542479051e-04	4.017095e+00
2.015008354979051e-04	4.949258e+00
2.019891167479051e-04	5.706563e+00
2.024773979979051e-04	6.315197e+00
2.029656792479051e-04	6.797585e+00
2.034539604979051e-04	7.172927e+00
2.039422417479051e-04	7.457654e+00
2.044305229979051e-04	7.665823e+00
2.049188042479051e-04	7.809459e+00
2.054070854979051e-04	7.898842e+00
2.058953667479051e-04	7.942756e+00
2.063836479979051e-04	7.948703e+00
2.068719292479051e-04	7.923086e+00
2.073602104979051e-04	7.871368e+00
2.078484917479051e-04	7.798203e+00
2.083367729979051e-04	7.707554e+00
2.088250542479051e-04	7.602793e+00
2.093133354979051e-04	7.486784e+00
2.098016167479051e-04	7.361959e+00
2.102898979979051e-04	7.230373e+00
2.107781792479051e-04	7.093768e+00
2.112664604979051e-04	6.953613e+00
2.117547417479051e-04	6.811143e+00
2.122430229979051e-04	6.667395e+00
2.127313042479051e-04	6.523235e+00
2.132195854979051e-04	6.379387e+00
2.137078667479051e-04	6.236448e+00
2.141961479979051e-04	6.094912e+00
2.146844292479051e-04	5.955180e+00
2.151727104979051e-04	5.817581e+00
2.156609917479051e-04	5.682376e+00
2.161492729979051e-04	5.549771e+00
2.166375542479051e-04	5.419926e+00
2.171258354979051e-04	5.292961e+00
2.176141167479051e-04	5.168963e+00
2.181023979979051e-04	5.047991e+00
2.185906792479051e-04	4.930079e+00
2.190789604979051e-04	4.815244e+00
2.195672417479051e-04	4.703484e+00
2.200555229979051e-04	4.594783e+00
2.205438042479051e-04	4.489116e+00
2.210320854979051e-04	4.386447e+00
2.215203667479051e-04	4.286733e+00
2.220086479979051e-04	4.189925e+00
2.224969292479051e-04	4.095969e+00
2.229852104979051e-04	4.004806e+00
2.234734917479051e-04	3.916377e+00
2.239617729979051e-04	3.830619e+00
2.244500542479051e-04	3.747467e+00
2.249383354979051e-04	3.666857e+00
2.254266167479051e-04	3.588722e+00
2.259148979979051e-04	3.512998e+00
2.264031792479051e-04	3.439618e+00
2.268914604979051e-04	3.368518e+00
2.273797417479051e-04	3.299633e+00
2.278680229979051e-04	3.232900e+00
2.283563042479051e-04	3.168257e+00
2.288445854979051e-04	3.105641e+00
2.293328667479051e-04	3.044994e+00
2.298211479979051e-04	2.986256e+00
2.303094292479051e-04	2.929370e+00
2.307977104979051e-04	2.874279e+00
2.312859917479051e-04	2.820929e+00
2.317742729979051e-04	2.769267e+00
2.322625542479051e-04	2.719240e+00
2.327508354979051e-04	2.670797e+00
2.332391167479051e-04	2.623891e+00
2.337273979979051e-04	2.578472e+00
2.342156792479051e-04	2.534495e+00
2.347039604979051e-04	2.491914e+00
2.351922417479051e-04	2.450686e+00
2.356805229979051e-04	2.410768e+00
2.361688042479051e-04	2.372119e+00
2.366570854979051e-04	2.334698e+00
2.371453667479051e-04	2.298468e+00
2.376336479979051e-04	2.263391e+00
2.381219292479051e-04	2.229429e+00
2.386102104979051e-04	2.196548e+00
2.390984917479051e-04	2.164714e+00
2.395867729979051e-04	2.133893e+00
2.400750542479051e-04	2.104053e+00
2.405633354979051e-04	2.075164e+00
2.410516167479051e-04	2.047194e+00
2.415398979979051e-04	2.020115e+00
2.420281792479051e-04	1.993899e+00
2.425164604979051e-04	1.968517e+00
2.430047417479051e-04	1.943944e+00
2.434930229979051e-04	1.920154e+00
2.439813042479051e-04	1.897121e+00
2.444695854979051e-04	1.874823e+00
2.449578667479051e-04	1.853234e+00
2.454461479979051e-04	1.832334e+00
